Player,Score
KJ,10000000050
JY,7345
Okay,255
xrx,110
Jim,90
Rudy,85
Jack,85
Cool,70
Girl,45
Helen,40
Kendall,40
Good,25
Ken,10
hao,5
YU,-25
mr,160
